PWM1,PWM2,PWM3,PWM4,Thrust
215.2511743,192.2314732,198.6924856,177.6793907,3.576408746
215.5574316,191.8727601,198.8926583,176.7980651,3.558854347
215.7379118,191.5024441,199.228412,175.5367816,3.53755716
215.9262074,191.5405849,199.676224,174.5606833,3.522751171
216.0821881,192.026986,200.0026362,174.2078631,3.518505165
215.8868513,192.5440208,199.77226,174.2947737,3.519976841
215.6169835,193.1136087,199.2198808,174.8771988,3.529167953
215.4752238,193.6769497,198.6298389,175.7917736,3.545161469
215.4953491,194.0809053,198.1836726,176.719195,3.564046913
215.2706209,193.8644618,197.6265151,177.0778448,3.575355774
215.344784,193.5705758,197.499407,177.2900754,3.586128962
215.8464431,193.4833197,197.891331,177.616274,3.597783815
216.7379375,193.8274386,198.715027,178.2886293,3.610062003
217.8538679,194.7203661,199.7806142,179.4180419,3.621362321
219.5297599,196.6359515,201.3703508,181.4095925,3.639350315
221.662726,199.4207694,203.3301357,184.1054094,3.664894301
223.7925728,202.3398515,205.1035451,186.8822865,3.693284453
225.706992,204.7056588,206.3145915,189.252785,3.723957906
227.4132432,206.0402881,206.8414603,190.9639885,3.75955886
228.7268245,205.927857,206.5710452,191.7640622,3.798212737
229.1633717,204.0640533,205.3793518,191.3493551,3.830951463
228.9772977,201.2359086,204.0303571,190.2230537,3.859394819
228.318544,198.3838834,203.1984327,188.8839187,3.882173749
227.2065506,196.297591,203.2020988,187.6801889,3.895518954
225.3145223,195.1332204,203.641235,186.5142965,3.890606954
223.2337186,195.3467923,204.5657,185.7759614,3.875125134
221.2152737,196.5791352,205.5121628,185.3155726,3.851969665
219.4075267,198.0569825,206.0175782,184.7268699,3.822628698
218.0006645,199.0484455,205.9846536,183.6565961,3.789459203
217.6020109,199.537362,206.0740922,182.3362364,3.762485342
218.3006135,199.5325105,206.699573,180.938261,3.744002277
219.6087478,199.0055114,207.7344545,179.5496337,3.728604039
221.1886346,198.3726624,208.9875267,178.6338536,3.715896796
222.7147038,198.1060665,210.0387652,178.661724,3.707712427
223.7203376,198.3333615,210.2334026,179.7091952,3.703933528
223.5705226,198.6496016,208.8640395,181.2535448,3.699671631
222.7155552,199.2410484,206.4663752,183.2095398,3.704219428
221.6132895,200.0028339,203.8146466,185.1952959,3.721402476
220.6693228,200.6637993,201.7133464,186.7494688,3.748716748
219.9256343,200.7362048,200.502147,187.3614047,3.774471876
219.9489428,200.5509707,200.734091,187.4204132,3.797440119
220.5934286,200.2677516,202.0336646,187.2308721,3.810395708
221.2565325,200.0414358,203.4652338,187.0579357,3.806790922
221.4007254,200.2075533,204.1996977,187.2155104,3.788084826
221.0857261,201.347302,204.1417326,188.1219287,3.767965139
220.4150562,203.4075884,203.4469069,189.583588,3.75648942
219.4941789,205.570391,202.4051758,190.7861754,3.754742366
219.0565822,207.1605492,201.8937845,191.1907353,3.765718767
219.6899297,207.6075646,202.5597302,190.4853171,3.78688798
221.3483986,206.661217,204.3288513,188.6904036,3.809552802
223.0511863,204.376355,206.1504491,186.0227739,3.818911164
224.3804091,202.1551695,207.4718311,183.7887584,3.819273535
224.7010008,201.1511004,207.5800613,182.924543,3.814173322
223.7623966,201.8541621,206.1977839,183.6969059,3.807460234
221.8414895,203.7285553,203.6212931,185.4688009,3.799728645
220.3888636,206.128079,201.2944164,187.5906327,3.800510686
220.4151805,207.8477825,200.303062,188.983705,3.80944017
222.0632014,207.9140523,200.9559777,188.8151475,3.819574249
224.814986,206.4390561,202.9334438,187.2232518,3.827372788
227.7924768,204.6428624,205.5234294,185.3021634,3.836037479
